"xcoord";"ycoord"
304353;4601080
308690;4607450
290002;4600370
307375;4608140
301579;4612650
313069;4623180
310271;4606600
315255;4625810
309081;4617970
309219;4618240
311040;4621310
305957;4613670
308364;4617290
288198;4601610
309165;4615660
313419;4610960
292596;4601850
285862;4609580
289752;4599660
306574;4616580
314914;4604160
302125;4602160
307695;4617080
279417;4590150
293408;4607490
315462;4622600
292493;4606100
300431;4595800
302335;4600110
289060;4597890
302294;4591790
288987;4597720
297410;4606570
315815;4623070
304249;4601080
282042;4592100
310980;4606200
289503;4598780
288040;4599620
309184;4618150
315666;4626080
306650;4616660
314960;4625430
306243;4616210
305451;4610020
303724;4621880
297006;4606260
298050;4591160
304773;4613660
289010;4597810
280896;4593680
301948;4606080
317779;4625010
315752;4603630
313671;4604730
316965;4610720
312966;4605250
313656;4611760
302185;4607940
296197;4605660
308832;4611190
313760;4611830
309130;4607220
310489;4610890
313346;4597330
305710;4615360
309493;4619390
305464;4614930
300944;4596860
304734;4613570
283044;4592850
291840;4616700
315079;4622070
306413;4616400
299855;4595240
288582;4624420
290951;4602410
312370;4611010
313622;4604940
306277;4616250
311038;4622830
289077;4620380
310712;4622920
312605;4599830
296599;4605950
305599;4615210
311321;4622640
309233;4618280
280211;4590660
301791;4605220
292172;4602960
289889;4619500
301094;4613340
303725;4621970
312386;4605530
279830;4590420
305422;4614830
310001;4616430
304085;4614980
305771;4615450
305502;4615040
307157;4613260
308252;4602940
288809;4624610
291471;4617170
289898;4602440
292291;4605750
305778;4613890
308760;4611190
309955;4611440
310697;4611500
313245;4611480
314584;4612100
292058;4616500
310671;4599310
311299;4598670
298159;4590180
297826;4593050
298666;4594180
300412;4595780
300863;4596450
301165;4597330
301341;4597790
301991;4599140
302308;4600080
304912;4614050
305003;4614310
304887;4613960
304924;4614090
306697;4616700
307980;4617120
308352;4617280
309021;4617890
308985;4617850
309049;4617920
309155;4618090
309299;4618890
310251;4620300
314074;4624240
314163;4624420
302626;4606680
305464;4608190
306866;4612980
309838;4616370
316779;4623610
318780;4626940
297779;4600780
281897;4595020
302233;4591860
301614;4593020
307877;4603170
310877;4601740
292046;4607390
291988;4607460
287962;4623900
312059;4610930
307655;4610470
301961;4606580
302060;4607070
291271;4603130
290025;4600410
289283;4598290
287287;4596050
287154;4595950
292336;4602610
303065;4613670
302966;4614130
303621;4620940
299898;4621260
315686;4603670
314529;4604410
313538;4604980
310163;4606670
309989;4606770
284881;4625630
294883;4605040
315454;4611110
285229;4598460
317171;4598100
312888;4597510
292464;4606040
281579;4595710
309912;4616400
305942;4615820
289047;4597880
318658;4626700
307924;4614150
316063;4626400
295313;4601700
309845;4619850
306023;4608520
310750;4616780
316685;4623560
313965;4604740
311333;4606030
317157;4610730
297992;4590690
288171;4622750
307215;4603920
301623;4606060
287049;4599220
289575;4599180
310725;4601790
313160;4623230
291888;4627190
302056;4607050
317057;4600610
302083;4607160
308021;4611450
296029;4611150
316195;4598170
306241;4604720
310118;4620150
296641;4612820
292593;4616210
302201;4602090
307714;4617080
285241;4594580
289006;4620450
304274;4612570
297811;4606870
286229;4598800
294825;4614680
302572;4606660
312106;4622890
302146;4607750
313152;4605170
289560;4598990
313932;4623990
290036;4608370
303179;4618310
288999;4608700
302370;4601510
290724;4603100
306040;4609490
299234;4604600
314643;4612110
309720;4602240
289753;4619650
315248;4611050
290858;4602220
311251;4601550
304215;4606780
301386;4598160
310879;4606250
291074;4617970
301952;4606270
301846;4602900
295788;4610220
289342;4620090
310966;4599050
292536;4606190
301815;4606050
302272;4615220
295982;4610650
295443;4614340
284528;4593970
308641;4610580
310637;4611500
301770;4615200
298271;4588320
289818;4619580
311528;4618170
315589;4611940
311793;4611470
309016;4615520
287882;4623840
308528;4617410
304091;4612320
299732;4621930
286571;4588670
309467;4611360
304364;4612750
310165;4599620
309749;4599840
302197;4601970
303617;4620680
309341;4600130
286761;4601520
296315;4601760
305954;4601310
312960;4599360
318292;4601720
304561;4613190
309749;4606890
285320;4594650
308749;4617620
289990;4602480
309574;4606990
310045;4623100
310188;4620230
304735;4624300
306422;4612570
301808;4603190
301831;4602430
307096;4610290
316667;4612970
316586;4623510
288834;4597470
311692;4605860
294827;4605000
287558;4623480
317323;4624130
316174;4603360
282255;4594690
305020;4614300
281465;4591570
301804;4605290
294290;4601520
293786;4601500
303022;4619090
308277;4611300
286955;4595810
312654;4596100
295536;4605290
296359;4601760
285129;4625320
302631;4615440
308367;4602860
290753;4603210
278949;4589460
307730;4611690
297760;4602130
306087;4616020
317886;4625220
289654;4601550
297734;4613790
286691;4588160
287327;4601700
315021;4604100
300441;4615020
291833;4601880
316644;4603050
306713;4616710
306126;4612110
307742;4610500
310282;4599560
306726;4612270
306192;4608950
303203;4601560
289441;4601350
287067;4595880
282203;4592200
316420;4611590
311579;4617880
299286;4627330
305152;4601250
301378;4602740
316684;4598200
315312;4597780
310093;4616470
312070;4600440
314207;4624520
304981;4614250
311026;4598990
300514;4603050
311104;4598910
293173;4607150
310701;4601800
282043;4594880
317290;4596430
288996;4601970
306387;4612620
313229;4597600
299899;4619680
287710;4609110
304916;4614060
305077;4614400
315281;4603930
296419;4613840
291088;4602690
297548;4606680
312488;4618510
296771;4606070
299645;4595020
292144;4607260
312831;4618890
313746;4623760
314052;4604710
315175;4612070
296814;4612970
286942;4601560
289166;4602070
291524;4604450
292062;4605420
292623;4606410
293502;4607650
295125;4609270
296469;4612630
297822;4613850
298771;4614600
300412;4615020
300943;4615110
302993;4615180
305079;4614270
307480;4611870
307569;4611810
314982;4612100
293939;4615330
291528;4617080
290787;4618380
287404;4599420
288810;4600310
289813;4601670
292319;4601750
292514;4601690
295489;4601720
298517;4602660
301360;4602750
305553;4601260
310253;4599570
310513;4599420
310478;4599440
311159;4598850
311610;4598300
312432;4597690
298220;4588080
297644;4591890
300736;4596180
301876;4599060
302538;4601020
301796;4603500
304522;4613100
304813;4613750
305173;4614500
305375;4614740
306216;4616170
306619;4616630
308660;4617530
308735;4617600
310454;4620530
315756;4626130
315847;4626190
316338;4626770
316568;4627220
305660;4611640
311252;4617400
311344;4617570
314277;4621010
317895;4625230
296357;4596690
313980;4596630
305535;4588240
301775;4592660
303282;4590600
308334;4602890
310598;4601850
313268;4597500
288889;4624680
289592;4625270
312890;4611440
312500;4611160
312278;4610970
311466;4610930
310003;4610730
302103;4607250
288500;4597280
287128;4595930
284516;4593960
280720;4590980
280971;4591140
292130;4603050
302682;4615060
302931;4617320
302958;4617530
302995;4617830
303684;4621440
304515;4624000
303008;4619090
300865;4614810
300521;4616250
300291;4617950
299964;4619190
299901;4620670
299264;4624150
299303;4625080
299198;4625970
299171;4626750
299165;4626940
315271;4603940
314699;4604300
313188;4605150
312829;4605320
312667;4605400
310059;4606730
310077;4606720
309147;4607210
289726;4619680
296204;4605660
297236;4606440
312174;4610950
313906;4610940
316876;4610720
